"sample"	"chromosome"	"chromosome_start"	"chromosome_end"	"copy_number"	"mutation_type"
"Syntheticpatient2"	23	92676343	113054665	3	"gain"
"Syntheticpatient2"	13	13249996	42051978	2	"gain"
"Syntheticpatient2"	7	88027350	80999819	3	"gain"
"Syntheticpatient2"	17	92676343	154427175	1	"loss"
"Syntheticpatient2"	5	92017586	95213281	3	"gain"
"Syntheticpatient2"	21	109619453	144682401	1	"loss"
"Syntheticpatient2"	1	40959415	36154423	2	"gain"
"Syntheticpatient2"	7	96024675	180930584	3	"gain"
"Syntheticpatient2"	5	144689308	95213281	3	"gain"
"Syntheticpatient2"	5	70821512	80999819	3	"gain"
"Syntheticpatient2"	3	42052529	28377312	2	"gain"
"Syntheticpatient2"	6	40959415	40956367	4	"gain"
"Syntheticpatient2"	5	88027350	89932355	1	"loss"
"Syntheticpatient2"	6	81008575	57042204	3	"gain"
"Syntheticpatient2"	3	33998775	33994569	1	"loss"
"Syntheticpatient2"	5	144689308	109610616	3	"gain"
"Syntheticpatient2"	1	36161409	73804209	2	"gain"
"Syntheticpatient2"	5	96024675	113054665	3	"gain"
"Syntheticpatient2"	5	70821512	89932355	3	"gain"
"Syntheticpatient2"	7	92017586	113054665	1	"loss"
"Syntheticpatient2"	5	154430085	109610616	3	"gain"
"Syntheticpatient2"	5	96024675	95213281	3	"gain"
"Syntheticpatient2"	5	144689308	112263535	3	"gain"
"Syntheticpatient2"	13	14568	33994569	1	"loss"
"Syntheticpatient2"	13	92676343	95213281	1	"loss"
"Syntheticpatient2"	21	14568	29126411	1	"loss"
"Syntheticpatient2"	1	930198	33994569	1	"loss"
"Syntheticpatient2"	13	92676343	180930584	3	"gain"
